workbook_sheet,class_order_seed,method,dataset,workbook_cells,workbook_A_L,workbook_A_avg,expected_log_filename,protocol,candidate_log_paths,log_A_L,log_A_avg,log_status,workbook_log_comparison
seed0,0,Full Fine-Tuning,CIFAR100,C3:D3,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,Full Fine-Tuning,CUB200,E3:F3,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,Full Fine-Tuning,ImageNet-R,G3:H3,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,Full Fine-Tuning,OmniBenchmark,I3:J3,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,Full Fine-Tuning,VTAB,K3:L3,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SimpleCIL,CIFAR100,C4:D4,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SimpleCIL,CUB200,E4:F4,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SimpleCIL,ImageNet-R,G4:H4,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SimpleCIL,OmniBenchmark,I4:J4,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SimpleCIL,VTAB,K4:L4,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,APER,CIFAR100,C5:D5,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,APER,CUB200,E5:F5,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,APER,ImageNet-R,G5:H5,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,APER,OmniBenchmark,I5:J5,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,APER,VTAB,K5:L5,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,L2P,CIFAR100,C6:D6,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,L2P,CUB200,E6:F6,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,L2P,ImageNet-R,G6:H6,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,L2P,OmniBenchmark,I6:J6,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,L2P,VTAB,K6:L6,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,DualPrompt,CIFAR100,C7:D7,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,DualPrompt,CUB200,E7:F7,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,DualPrompt,ImageNet-R,G7:H7,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,DualPrompt,OmniBenchmark,I7:J7,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,DualPrompt,VTAB,K7:L7,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,CODA-Prompt,CIFAR100,C8:D8,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,CODA-Prompt,CUB200,E8:F8,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,CODA-Prompt,ImageNet-R,G8:H8,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,CODA-Prompt,OmniBenchmark,I8:J8,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,CODA-Prompt,VTAB,K8:L8,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,LAE,CIFAR100,C9:D9,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,LAE,CUB200,E9:F9,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,LAE,ImageNet-R,G9:H9,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,LAE,OmniBenchmark,I9:J9,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,LAE,VTAB,K9:L9,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,InfLoRA,CIFAR100,C10:D10,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,InfLoRA,CUB200,E10:F10,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,InfLoRA,ImageNet-R,G10:H10,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,InfLoRA,OmniBenchmark,I10:J10,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,InfLoRA,VTAB,K10:L10,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,EASE,CIFAR100,C11:D11,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,EASE,CUB200,E11:F11,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,EASE,ImageNet-R,G11:H11,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,EASE,OmniBenchmark,I11:J11,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
